state,statename,month,tot19,fat19,rate19,tot20,fat20,rate20,change
DC,District of Columbia,June,2349,1,0.04257130693912303,1381,3,0.2172338884866039,410.28240405503254
NY,New York,June,39090,80,0.20465592223074955,7279,65,0.892979804918258,336.33225717818385
WI,Wisconsin,June,11505,39,0.3389830508474576,9303,58,0.6234547995270343,83.91916586047513
UT,Utah,June,5281,15,0.2840371141829199,495,2,0.40404040404040403,42.249158249158256
OH,Ohio,June,24376,96,0.3938299967180834,16935,89,0.5255388249188072,33.44306662730045
AL,Alabama,June,12187,77,0.6318207926479035,10433,72,0.6901178951404198,9.226841403588262
FL,Florida,June,31134,237,0.761225669685874,24072,194,0.8059155865736125,5.8707842716575955
KS,Kansas,June,5329,29,0.5441921561268531,410,2,0.4878048780487805,-10.361648444070658
WA,Washington,June,12974,63,0.4855865577308463,1,0,0,-100
ID,Idaho,June,2094,18,0.8595988538681948,NA,NA,NA,NA
