countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Autauga,June,114,0,0,92,0,0,0
Baldwin,June,541,1,0.18484288354898337,532,3,0.5639097744360902,205.075187969925
Barbour,June,38,0,0,52,1,1.9230769230769231,999
Bibb,June,32,0,0,15,1,6.666666666666667,999
Blount,June,73,0,0,63,2,3.1746031746031744,999
Bullock,June,12,0,0,17,0,0,0
Butler,June,50,0,0,70,1,1.4285714285714286,999
Calhoun,June,299,2,0.6688963210702341,239,1,0.41841004184100417,-37.4476987447699
Chambers,June,71,0,0,60,2,3.3333333333333335,999
Cherokee,June,38,0,0,46,1,2.1739130434782608,999
Chilton,June,108,0,0,69,0,0,0
Choctaw,June,19,2,10.526315789473685,13,0,0,-100
Clarke,June,20,2,10,25,1,4,-60
Clay,June,22,1,4.545454545454546,16,0,0,-100
Cleburne,June,41,1,2.4390243902439024,34,0,0,-100
Coffee,June,90,1,1.1111111111111112,83,0,0,-100
Colbert,June,121,1,0.8264462809917356,100,1,1,21
Conecuh,June,23,1,4.3478260869565215,35,0,0,-100
Coosa,June,20,1,5,18,1,5.555555555555555,11.1111111111111
Covington,June,48,1,2.0833333333333335,71,1,1.408450704225352,-32.3943661971831
Crenshaw,June,23,0,0,22,1,4.545454545454546,999
Cullman,June,177,3,1.694915254237288,192,2,1.0416666666666667,-38.5416666666667
Dale,June,70,1,1.4285714285714286,57,1,1.7543859649122806,22.8070175438596
Dallas,June,64,0,0,49,0,0,0
Dekalb,June,71,1,1.408450704225352,56,1,1.7857142857142858,26.7857142857143
Elmore,June,137,1,0.7299270072992701,121,0,0,-100
Escambia,June,67,0,0,57,0,0,0
Etowah,June,233,1,0.4291845493562232,195,2,1.0256410256410255,138.974358974359
Fayette,June,21,0,0,15,0,0,0
Franklin,June,39,0,0,38,0,0,0
Geneva,June,31,0,0,38,0,0,0
Greene,June,25,3,12,28,0,0,-100
Hale,June,19,0,0,17,0,0,0
Henry,June,13,0,0,26,NA,NA,
Houston,June,307,1,0.3257328990228013,318,2,0.6289308176100629,93.0817610062893
Jackson,June,85,0,0,88,1,1.1363636363636365,999
Jefferson,June,2742,6,0.2188183807439825,1910,6,0.31413612565445026,43.5602094240838
Lamar,June,16,0,0,15,NA,NA,
Lauderdale,June,153,1,0.6535947712418301,151,0,0,-100
Lawrence,June,44,1,2.272727272727273,39,0,0,-100
Lee,June,282,2,0.7092198581560284,232,1,0.43103448275862066,-39.2241379310345
Limestone,June,153,6,3.9215686274509802,130,2,1.5384615384615385,-60.7692307692308
Lowndes,June,35,0,0,28,0,0,0
Macon,June,72,1,1.3888888888888888,53,2,3.7735849056603774,171.698113207547
Madison,June,885,6,0.6779661016949152,759,6,0.7905138339920948,16.600790513834
Marengo,June,26,0,0,28,0,0,0
Marion,June,43,1,2.3255813953488373,56,1,1.7857142857142858,-23.2142857142857
Marshall,June,200,2,1,206,1,0.4854368932038835,-51.4563106796116
Mobile,June,1223,7,0.5723630417007359,1115,6,0.5381165919282511,-5.98334401024985
Monroe,June,28,2,7.142857142857143,30,2,6.666666666666667,-6.66666666666667
Montgomery,June,801,2,0.24968789013732834,690,2,0.2898550724637681,16.0869565217391
Morgan,June,274,3,1.094890510948905,270,0,0,-100
Perry,June,7,0,0,4,NA,NA,
Pickens,June,25,1,4,18,1,5.555555555555555,38.8888888888889
Pike,June,63,0,0,73,0,0,0
Randolph,June,21,1,4.761904761904762,25,1,4,-16
Russell,June,223,0,0,198,2,1.0101010101010102,999
Shelby,June,533,2,0.37523452157598497,424,6,1.4150943396226414,277.122641509434
St clair,June,171,0,0,150,1,0.6666666666666666,999
Sumter,June,17,0,0,11,NA,NA,
Talladega,June,192,2,1.0416666666666667,141,3,2.127659574468085,104.255319148936
Tallapoosa,June,44,1,2.272727272727273,55,1,1.8181818181818181,-20
Tuscaloosa,June,595,1,0.16806722689075632,481,1,0.2079002079002079,23.7006237006237
Walker,June,114,3,2.6315789473684212,124,0,0,-100
Washington,June,14,0,0,14,0,0,0
Wilcox,June,9,0,0,7,NA,NA,
Winston,June,20,1,5,29,1,3.4482758620689653,-31.0344827586207
