countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Adams,June,5308,5,0.09,2033,6,0.3,213.31
Alamosa,June,159,0,0,40,0,0,0
Arapahoe,June,5687,2,0.04,2816,5,0.18,404.88
Archuleta,June,77,1,1.3,62,0,0,-100
Baca,June,18,0,0,36,0,0,0
Bent,June,33,0,0,25,0,0,0
Boulder,June,2303,2,0.09,745,0,0,-100
Broomfield,June,821,1,0.12,264,1,0.38,210.98
Chaffee,June,152,0,0,100,1,1,999
Cheyenne,June,0,0,NaN,2,1,50,
Clear Creek,June,153,1,0.65,213,0,0,-100
Conejos,June,25,0,0,62,0,0,0
Costilla,June,56,0,0,49,0,0,0
Crowley,June,16,1,6.25,40,0,0,-100
Custer,June,27,0,0,6,0,0,0
Delta,June,115,0,0,52,0,0,0
Denver,June,8582,5,0.06,32,1,3.12,5263.75
Dolores,June,19,0,0,8,0,0,0
Douglas,June,2846,1,0.04,1249,0,0,-100
Eagle,June,463,0,0,277,0,0,0
El Paso,June,5796,5,0.09,3036,9,0.3,243.64
Elbert,June,108,0,0,77,3,3.9,999
Fremont,June,277,1,0.36,189,0,0,-100
Garfield,June,400,0,0,264,1,0.38,999
Gilpin,June,37,0,0,18,0,0,0
Grand,June,101,0,0,86,1,1.16,999
Gunnison,June,59,0,0,87,1,1.15,999
Hinsdale,June,4,0,0,11,1,9.09,999
Huerfano,June,142,1,0.7,48,0,0,-100
Jackson,June,21,1,4.76,14,0,0,-100
Jefferson,June,4213,2,0.05,3019,2,0.07,39.55
Kiowa,June,3,0,0,16,0,0,0
Kit Carson,June,87,0,0,50,0,0,0
La Plata,June,393,1,0.25,197,0,0,-100
Lake,June,44,0,0,6,1,16.67,999
Larimer,June,3053,1,0.03,1368,2,0.15,346.35
Las Animas,June,166,1,0.6,150,1,0.67,10.67
Lincoln,June,8,0,0,56,1,1.79,999
Logan,June,171,1,0.58,94,0,0,-100
Mesa,June,1159,1,0.09,939,3,0.32,270.29
Mineral,June,34,1,2.94,13,0,0,-100
Moffat,June,92,1,1.09,47,0,0,-100
Montezuma,June,190,1,0.53,99,0,0,-100
Montrose,June,292,2,0.68,152,0,0,-100
Morgan,June,277,0,0,166,0,0,0
Otero,June,118,1,0.85,48,1,2.08,145.83
Ouray,June,42,0,0,25,0,0,0
Park,June,205,0,0,90,2,2.22,999
Phillips,June,3,0,0,29,0,0,0
Pitkin,June,238,1,0.42,40,1,2.5,495
Prowers,June,84,0,0,27,0,0,0
Pueblo,June,1455,2,0.14,461,5,1.08,689.05
Rio Blanco,June,48,1,2.08,44,0,0,-100
Rio Grande,June,86,1,1.16,30,0,0,-100
Routt,June,233,0,0,85,1,1.18,999
Saguache,June,51,1,1.96,47,1,2.13,8.51
San Juan,June,19,1,5.26,5,0,0,-100
San Miguel,June,42,0,0,27,0,0,0
Sedgwick,June,25,0,0,0,0,NaN,0
Summit,June,299,0,0,155,0,0,0
Teller,June,141,0,0,124,0,0,0
Washington,June,40,0,0,29,2,6.9,999
Weld,June,2832,4,0.14,1326,4,0.3,113.57
Yuma,June,40,1,2.5,27,0,0,-100
