countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Allen,June,20,0,0,10,0,0,0
Anderson,June,18,0,0,4,0,0,0
Atchison,June,31,0,0,6,0,0,0
Barber,June,5,0,0,NA,NA,NA,
Barton,June,74,0,0,41,0,0,0
Bourbon,June,31,0,0,2,1,50,999
Brown,June,23,0,0,6,0,0,0
Butler,June,129,0,0,31,1,3.225806451612903,999
Chase,June,16,1,6.25,7,0,0,-100
Chautauqua,June,5,0,0,NA,NA,NA,
Cherokee,June,34,0,0,4,0,0,0
Clark,June,5,0,0,1,0,0,0
Clay,June,18,0,0,4,0,0,0
Cloud,June,16,0,0,9,0,0,0
Coffey,June,36,0,0,21,1,4.761904761904762,999
Comanche,June,4,0,0,1,0,0,0
Cowley,June,62,0,0,19,0,0,0
Crawford,June,66,0,0,9,0,0,0
Decatur,June,4,1,25,NA,NA,NA,
Dickinson,June,13,0,0,1,0,0,0
Doniphan,June,9,0,0,NA,NA,NA,
Douglas,June,253,1,0.3952569169960474,131,0,0,-100
Edwards,June,5,0,0,2,0,0,0
Elk,June,12,0,0,NA,NA,NA,
Ellis,June,50,0,0,5,0,0,0
Ellsworth,June,26,0,0,8,0,0,0
Finney,June,73,0,0,21,0,0,0
Ford,June,65,0,0,22,0,0,0
Franklin,June,39,3,7.6923076923076925,6,0,0,-100
Geary,June,46,0,0,5,0,0,0
Gove,June,11,0,0,6,0,0,0
Graham,June,4,0,0,1,0,0,0
Grant,June,10,0,0,NA,NA,NA,
Gray,June,9,0,0,4,0,0,0
Greeley,June,3,0,0,NA,NA,NA,
Greenwood,June,12,0,0,2,1,50,999
Hamilton,June,7,1,14.285714285714286,NA,NA,NA,
Harper,June,12,0,0,11,0,0,0
Harvey,June,53,0,0,4,0,0,0
Haskell,June,4,0,0,1,0,0,0
Hodgeman,June,7,0,0,NA,NA,NA,
Jackson,June,25,0,0,1,0,0,0
Jefferson,June,33,0,0,20,1,5,999
Jewell,June,6,0,0,8,0,0,0
Johnson,June,1029,3,0.2915451895043732,125,0,0,-100
Kearny,June,7,0,0,7,1,14.285714285714286,999
Kingman,June,29,0,0,26,0,0,0
Kiowa,June,8,0,0,1,0,0,0
Labette,June,38,2,5.2631578947368425,24,0,0,-100
Lane,June,4,0,0,NA,NA,NA,
Leavenworth,June,112,1,0.8928571428571429,20,0,0,-100
Lincoln,June,13,0,0,8,0,0,0
Linn,June,24,0,0,18,0,0,0
Logan,June,5,0,0,1,0,0,0
Lyon,June,86,1,1.1627906976744187,32,0,0,-100
Marion,June,27,0,0,2,0,0,0
Marshall,June,13,0,0,5,0,0,0
Mcpherson,June,45,0,0,29,0,0,0
Meade,June,2,1,50,NA,NA,NA,
Miami,June,62,1,1.6129032258064515,3,1,33.333333333333336,1966.66666666667
Mitchell,June,16,0,0,2,0,0,0
Montgomery,June,55,1,1.8181818181818181,24,0,0,-100
Morris,June,20,0,0,7,0,0,0
Morton,June,4,0,0,NA,NA,NA,
Nemaha,June,29,1,3.4482758620689653,2,0,0,-100
Neosho,June,26,0,0,2,0,0,0
Ness,June,2,0,0,NA,NA,NA,
Norton,June,11,0,0,1,0,0,0
Osage,June,11,0,0,4,0,0,0
Osborne,June,8,0,0,NA,NA,NA,
Ottawa,June,15,1,6.666666666666667,NA,NA,NA,
Pawnee,June,15,0,0,13,0,0,0
Phillips,June,5,0,0,3,1,33.333333333333336,999
Pottawatomie,June,43,0,0,3,0,0,0
Pratt,June,18,0,0,NA,NA,NA,
Reno,June,88,1,1.1363636363636365,8,0,0,-100
Republic,June,9,0,0,3,0,0,0
Rice,June,22,0,0,14,0,0,0
Riley,June,124,1,0.8064516129032258,73,0,0,-100
Rooks,June,6,0,0,NA,NA,NA,
Rush,June,8,0,0,8,0,0,0
Russell,June,22,0,0,7,0,0,0
Saline,June,130,1,0.7692307692307693,6,0,0,-100
Scott,June,6,0,0,1,0,0,0
Sedgwick,June,969,4,0.41279669762641896,522,4,0.7662835249042146,85.632183908046
Seward,June,32,0,0,24,0,0,0
Shawnee,June,419,3,0.7159904534606205,149,1,0.6711409395973155,-6.26398210290827
Sheridan,June,5,0,0,1,1,100,999
Sherman,June,12,0,0,2,0,0,0
Smith,June,7,0,0,3,0,0,0
Stafford,June,14,0,0,1,0,0,0
Stevens,June,4,1,25,2,0,0,-100
Sumner,June,72,0,0,36,1,2.7777777777777777,999
Thomas,June,19,0,0,11,0,0,0
Trego,June,8,0,0,3,0,0,0
Wabaunsee,June,26,0,0,8,0,0,0
Wallace,June,1,0,0,NA,NA,NA,
Washington,June,11,0,0,6,0,0,0
Wichita,June,4,0,0,NA,NA,NA,
Wilson,June,15,0,0,1,0,0,0
Woodson,June,8,0,0,2,0,0,0
Wyandotte,June,352,2,0.5681818181818182,85,0,0,-100
