countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Adams,June,41,1,2.4390243902439024,39,0,0,-100
Allen,June,252,0,0,198,0,0,0
Ashland,June,91,1,1.098901098901099,60,0,0,-100
Ashtabula,June,155,2,1.2903225806451613,175,1,0.5714285714285714,-55.7142857142857
Athens,June,65,0,0,56,2,3.5714285714285716,999
Auglaize,June,101,0,0,74,1,1.3513513513513513,999
Belmont,June,115,1,0.8695652173913043,92,0,0,-100
Brown,June,52,2,3.8461538461538463,60,0,0,-100
Butler,June,707,1,0.14144271570014144,421,1,0.2375296912114014,67.9334916864608
Carroll,June,35,0,0,27,0,0,0
Champaign,June,50,0,0,29,0,0,0
Clark,June,290,0,0,262,3,1.1450381679389312,999
Clermont,June,384,2,0.5208333333333334,370,1,0.2702702702702703,-48.1081081081081
Clinton,June,86,1,1.1627906976744187,62,0,0,-100
Columbiana,June,131,1,0.7633587786259542,99,0,0,-100
Coshocton,June,41,0,0,NA,NA,NA,
Crawford,June,72,0,0,70,0,0,0
Cuyahoga,June,2931,5,0.17059024223814398,1172,5,0.42662116040955633,150.085324232082
Darke,June,93,1,1.075268817204301,11,1,9.090909090909092,745.454545454545
Defiance,June,112,1,0.8928571428571429,60,0,0,-100
Delaware,June,317,4,1.2618296529968454,274,1,0.36496350364963503,-71.0766423357664
Erie,June,202,0,0,181,0,0,0
Fairfield,June,222,2,0.9009009009009009,209,4,1.9138755980861244,112.44019138756
Fayette,June,81,1,1.2345679012345678,32,0,0,-100
Franklin,June,2970,5,0.16835016835016836,1445,8,0.5536332179930796,228.858131487889
Fulton,June,100,0,0,69,0,0,0
Gallia,June,65,0,0,50,0,0,0
Geauga,June,142,1,0.704225352112676,106,1,0.9433962264150944,33.9622641509434
Greene,June,288,3,1.0416666666666667,221,1,0.45248868778280543,-56.5610859728507
Guernsey,June,92,0,0,72,2,2.7777777777777777,999
Hamilton,June,2631,5,0.19004180919802358,1826,3,0.16429353778751368,-13.5487404162103
Hancock,June,184,0,0,178,1,0.5617977528089888,999
Hardin,June,56,2,3.5714285714285716,16,0,0,-100
Harrison,June,25,0,0,27,1,3.7037037037037037,999
Henry,June,63,1,1.5873015873015872,52,0,0,-100
Highland,June,50,0,0,54,2,3.7037037037037037,999
Hocking,June,48,0,0,45,0,0,0
Holmes,June,38,0,0,47,0,0,0
Huron,June,102,2,1.9607843137254901,73,1,1.36986301369863,-30.1369863013699
Jackson,June,63,1,1.5873015873015872,72,1,1.3888888888888888,-12.5
Jefferson,June,107,0,0,74,0,0,0
Knox,June,115,2,1.7391304347826086,82,0,0,-100
Lake,June,388,0,0,292,4,1.36986301369863,999
Lawrence,June,80,1,1.25,96,1,1.0416666666666667,-16.6666666666667
Licking,June,281,3,1.0676156583629892,244,2,0.819672131147541,-23.224043715847
Logan,June,71,1,1.408450704225352,59,0,0,-100
Lorain,June,549,4,0.7285974499089253,483,2,0.4140786749482402,-43.167701863354
Lucas,June,1155,5,0.4329004329004329,1007,8,0.7944389275074478,83.5153922542205
Madison,June,106,1,0.9433962264150944,92,2,2.1739130434782608,130.434782608696
Mahoning,June,412,0,0,298,0,0,0
Marion,June,115,0,0,135,0,0,0
Medina,June,285,0,0,203,1,0.49261083743842365,999
Meigs,June,17,2,11.764705882352942,29,0,0,-100
Mercer,June,63,0,0,46,1,2.1739130434782608,999
Miami,June,229,0,0,144,1,0.6944444444444444,999
Monroe,June,23,0,0,10,0,0,0
Montgomery,June,1152,3,0.2604166666666667,976,3,0.3073770491803279,18.0327868852459
Morgan,June,21,1,4.761904761904762,18,0,0,-100
Morrow,June,88,0,0,82,0,0,0
Muskingum,June,181,0,0,137,1,0.7299270072992701,999
Noble,June,11,0,0,12,0,0,0
Ottawa,June,81,2,2.4691358024691357,61,1,1.639344262295082,-33.6065573770492
Paulding,June,41,0,0,12,0,0,0
Perry,June,44,2,4.545454545454546,37,0,0,-100
Pickaway,June,116,1,0.8620689655172413,80,2,2.5,190
Pike,June,46,1,2.1739130434782608,38,0,0,-100
Portage,June,287,3,1.0452961672473868,234,2,0.8547008547008547,-18.2336182336182
Preble,June,88,0,0,49,1,2.0408163265306123,999
Putnam,June,43,0,0,5,0,0,0
Richland,June,262,3,1.1450381679389312,138,3,2.1739130434782608,89.8550724637681
Ross,June,161,0,0,124,0,0,0
Sandusky,June,150,1,0.6666666666666666,88,0,0,-100
Scioto,June,139,2,1.4388489208633093,163,0,0,-100
Seneca,June,116,0,0,57,0,0,0
Shelby,June,95,0,0,90,0,0,0
Stark,June,669,2,0.29895366218236175,613,5,0.8156606851549756,172.838499184339
Summit,June,1230,2,0.16260162601626016,871,0,0,-100
Trumbull,June,301,2,0.6644518272425249,252,2,0.7936507936507936,19.4444444444444
Tuscarawas,June,194,0,0,158,1,0.6329113924050633,999
Union,June,97,0,0,73,1,1.36986301369863,999
Van wert,June,65,0,0,43,0,0,0
Vinton,June,25,0,0,27,0,0,0
Warren,June,446,2,0.4484304932735426,252,3,1.1904761904761905,165.47619047619
Washington,June,83,1,1.2048192771084338,85,0,0,-100
Wayne,June,176,0,0,129,1,0.7751937984496124,999
Williams,June,95,1,1.0526315789473684,79,0,0,-100
Wood,June,281,2,0.7117437722419929,225,0,0,-100
Wyandot,June,53,0,0,47,0,0,0
