countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Anderson,June,60,1,1.67,54,1,1.85,11.11
Andrews,June,23,3,13.04,21,0,0,-100
Angelina,June,120,1,0.83,141,2,1.42,70.21
Aransas,June,31,2,6.45,26,0,0,-100
Archer,June,10,2,20,15,0,0,-100
Atascosa,June,77,0,0,54,0,0,0
Austin,June,51,0,0,28,1,3.57,999
Bailey,June,6,0,0,12,0,0,0
Bandera,June,19,0,0,16,1,6.25,999
Bastrop,June,107,1,0.93,109,0,0,-100
Baylor,June,3,1,33.33,3,0,0,-100
Bee,June,30,0,0,33,1,3.03,999
Bell,June,499,6,1.2,381,4,1.05,-12.69
Bexar,June,4391,17,0.39,3286,14,0.43,10.05
Blanco,June,19,0,0,14,1,7.14,999
Borden,June,2,0,0,NA,NA,NA,
Bosque,June,16,0,0,10,0,0,0
Bowie,June,171,0,0,158,1,0.63,999
Brazoria,June,514,7,1.36,377,2,0.53,-61.05
Brazos,June,222,0,0,177,3,1.69,999
Brewster,June,9,0,0,5,0,0,0
Briscoe,June,2,0,0,3,0,0,0
Brooks,June,15,0,0,23,0,0,0
Brown,June,47,0,0,51,2,3.92,999
Burleson,June,34,0,0,23,1,4.35,999
Burnet,June,65,0,0,71,2,2.82,999
Caldwell,June,84,1,1.19,66,2,3.03,154.55
Calhoun,June,26,0,0,24,0,0,0
Callahan,June,27,0,0,20,1,5,999
Cameron,June,660,1,0.15,568,2,0.35,132.39
Camp,June,8,1,12.5,7,0,0,-100
Carson,June,4,0,0,3,0,0,0
Cass,June,30,1,3.33,28,0,0,-100
Castro,June,9,0,0,12,0,0,0
Chambers,June,113,0,0,115,3,2.61,999
Cherokee,June,65,1,1.54,53,0,0,-100
Clay,June,19,0,0,33,1,3.03,999
Cochran,June,1,0,0,6,0,0,0
Coke,June,4,0,0,3,0,0,0
Coleman,June,15,0,0,6,0,0,0
Collin,June,1155,2,0.17,748,4,0.53,208.82
Collingsworth,June,1,0,0,4,0,0,0
Colorado,June,61,0,0,41,2,4.88,999
Comal,June,202,0,0,177,0,0,0
Comanche,June,20,0,0,23,1,4.35,999
Concho,June,11,1,9.09,1,0,0,-100
Cooke,June,30,0,0,49,1,2.04,999
Coryell,June,69,0,0,70,0,0,0
Crane,June,6,1,16.67,4,0,0,-100
Crockett,June,14,0,0,6,0,0,0
Crosby,June,1,0,0,3,0,0,0
Culberson,June,19,1,5.26,8,1,12.5,137.5
Dallam,June,30,0,0,13,1,7.69,999
Dallas,June,4742,26,0.55,3609,24,0.67,21.29
Dawson,June,10,0,0,15,0,0,0
Deaf Smith,June,30,1,3.33,24,1,4.17,25
Delta,June,2,0,0,2,0,0,0
Denton,June,971,3,0.31,716,5,0.7,126.02
DeWitt,June,25,1,4,21,2,9.52,138.1
Dickens,June,5,0,0,3,0,0,0
Dimmit,June,17,1,5.88,12,1,8.33,41.67
Donley,June,18,0,0,10,0,0,0
Duval,June,7,0,0,3,0,0,0
Eastland,June,29,0,0,30,1,3.33,999
Ector,June,444,4,0.9,317,3,0.95,5.05
Edwards,June,5,1,20,2,0,0,-100
El Paso,June,1578,3,0.19,1337,7,0.52,175.39
Ellis,June,225,2,0.89,243,4,1.65,85.19
Erath,June,39,1,2.56,30,0,0,-100
Falls,June,22,1,4.55,13,0,0,-100
Fannin,June,32,1,3.12,34,2,5.88,88.24
Fayette,June,53,0,0,36,2,5.56,999
Fisher,June,6,0,0,4,0,0,0
Floyd,June,6,0,0,7,0,0,0
Foard,June,1,0,0,NA,NA,NA,
Fort Bend,June,742,8,1.08,589,5,0.85,-21.26
Franklin,June,9,0,0,16,1,6.25,999
Freestone,June,44,0,0,39,1,2.56,999
Frio,June,10,0,0,15,0,0,0
Gaines,June,35,1,2.86,15,0,0,-100
Galveston,June,667,2,0.3,669,5,0.75,149.25
Garza,June,11,0,0,8,0,0,0
Gillespie,June,46,0,0,29,0,0,0
Glasscock,June,2,0,0,5,0,0,0
Goliad,June,6,0,0,5,0,0,0
Gonzales,June,32,1,3.12,30,2,6.67,113.33
Gray,June,29,1,3.45,27,0,0,-100
Grayson,June,136,2,1.47,166,4,2.41,63.86
Gregg,June,262,5,1.91,245,3,1.22,-35.84
Grimes,June,46,0,0,34,1,2.94,999
Guadalupe,June,212,1,0.47,184,1,0.54,15.22
Hale,June,33,1,3.03,31,0,0,-100
Hall,June,1,0,0,2,1,50,999
Hamilton,June,15,0,0,10,0,0,0
Hansford,June,1,0,0,2,0,0,0
Hardeman,June,8,0,0,9,0,0,0
Hardin,June,72,0,0,70,0,0,0
Harris,June,9579,27,0.28,7622,40,0.52,86.19
Harrison,June,127,3,2.36,94,1,1.06,-54.96
Hartley,June,9,0,0,10,0,0,0
Haskell,June,3,0,0,4,0,0,0
Hays,June,210,1,0.48,201,4,1.99,317.91
Hemphill,June,2,1,50,NA,NA,NA,
Henderson,June,84,2,2.38,104,1,0.96,-59.62
Hidalgo,June,1213,3,0.25,1157,2,0.17,-30.11
Hill,June,50,1,2,64,0,0,-100
Hockley,June,33,1,3.03,12,0,0,-100
Hood,June,61,2,3.28,57,2,3.51,7.02
Hopkins,June,42,0,0,61,1,1.64,999
Houston,June,16,2,12.5,30,0,0,-100
Howard,June,88,3,3.41,53,1,1.89,-44.65
Hudspeth,June,14,0,0,25,1,4,999
Hunt,June,104,1,0.96,93,1,1.08,11.83
Hutchinson,June,18,1,5.56,20,0,0,-100
Irion,June,3,0,0,2,0,0,0
Jack,June,15,0,0,11,0,0,0
Jackson,June,19,0,0,16,0,0,0
Jasper,June,50,2,4,52,1,1.92,-51.92
Jeff Davis,June,1,0,0,2,0,0,0
Jefferson,June,565,3,0.53,512,4,0.78,47.14
Jim Hogg,June,2,0,0,3,0,0,0
Jim Wells,June,52,0,0,62,0,0,0
Johnson,June,175,1,0.57,160,3,1.88,228.13
Jones,June,9,1,11.11,14,0,0,-100
Karnes,June,32,1,3.12,9,0,0,-100
Kaufman,June,153,2,1.31,150,2,1.33,2
Kendall,June,79,1,1.27,52,2,3.85,203.85
Kenedy,June,10,1,10,7,0,0,-100
Kerr,June,68,0,0,74,1,1.35,999
Kimble,June,11,0,0,7,0,0,0
King,June,2,0,0,NA,NA,NA,
Kinney,June,4,1,25,3,0,0,-100
Kleberg,June,32,1,3.12,32,1,3.12,0
La Salle,June,11,0,0,9,0,0,0
Lamar,June,86,0,0,96,3,3.12,999
Lamb,June,11,0,0,8,0,0,0
Lampasas,June,29,2,6.9,34,1,2.94,-57.35
Lavaca,June,9,0,0,14,0,0,0
Lee,June,19,1,5.26,14,0,0,-100
Leon,June,36,1,2.78,28,0,0,-100
Liberty,June,123,2,1.63,107,2,1.87,14.95
Limestone,June,19,0,0,41,2,4.88,999
