countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Adams,June,28,0,0,26,0,0,0
Ashland,June,23,0,0,22,0,0,0
Barron,June,64,0,0,55,0,0,0
Bayfield,June,24,0,0,26,0,0,0
Brown,June,319,0,0,248,2,0.81,999
Buffalo,June,26,1,3.85,29,1,3.45,-10.3448275862069
Burnett,June,30,0,0,22,1,4.55,999
Calumet,June,81,0,0,66,1,1.52,999
Chippewa,June,131,0,0,107,0,0,0
Clark,June,46,0,0,43,0,0,0
Columbia,June,121,1,0.83,137,4,2.92,253.284671532847
Crawford,June,20,0,0,27,0,0,0
Dane,June,989,0,0,554,2,0.36,999
Dodge,June,141,1,0.71,112,1,0.89,25.8928571428571
Door,June,82,0,0,64,1,1.56,999
Douglas,June,72,0,0,51,1,1.96,999
Dunn,June,65,0,0,38,0,0,0
Eau claire,June,197,0,0,174,1,0.57,999
Florence,June,9,0,0,8,2,25,999
Fond du lac,June,199,2,1.01,218,0,0,-100
Forest,June,21,0,0,20,0,0,0
Grant,June,120,1,0.83,88,1,1.14,36.3636363636364
Green,June,63,0,0,47,1,2.13,999
Green lake,June,28,0,0,27,1,3.7,999
Iowa,June,51,1,1.96,38,0,0,-100
Iron,June,11,1,9.09,11,0,0,-100
Jackson,June,52,0,0,50,0,0,0
Jefferson,June,130,0,0,166,1,0.6,999
Juneau,June,80,1,1.25,63,1,1.59,26.984126984127
Kenosha,June,358,1,0.28,320,2,0.62,123.75
Kewaunee,June,38,0,0,26,0,0,0
La crosse,June,287,2,0.7,219,1,0.46,-34.4748858447489
Lafayette,June,34,0,0,12,0,0,0
Langlade,June,34,0,0,31,0,0,0
Lincoln,June,59,1,1.69,48,0,0,-100
Manitowoc,June,181,1,0.55,195,0,0,-100
Marathon,June,254,1,0.39,175,2,1.14,190.285714285714
Marinette,June,73,0,0,79,0,0,0
Marquette,June,29,0,0,25,1,4,999
Menominee,June,2,1,50,NA,NA,NA,
Milwaukee,June,2360,3,0.13,1715,7,0.41,221.08843537415
Monroe,June,123,0,0,111,0,0,0
Oconto,June,49,3,6.12,46,2,4.35,-28.9855072463768
Oneida,June,88,2,2.27,60,1,1.67,-26.6666666666667
Outagamie,June,388,1,0.26,313,3,0.96,271.884984025559
Ozaukee,June,169,0,0,120,2,1.67,999
Pepin,June,7,0,0,13,0,0,0
Pierce,June,40,0,0,34,1,2.94,999
Polk,June,45,0,0,39,1,2.56,999
Portage,June,108,0,0,120,0,0,0
Price,June,17,0,0,24,1,4.17,999
Racine,June,448,2,0.45,333,2,0.6,34.5345345345345
Richland,June,35,0,0,23,1,4.35,999
Rock,June,332,1,0.3,286,0,0,-100
Rusk,June,13,1,7.69,13,0,0,-100
Sauk,June,153,0,0,137,1,0.73,999
Sawyer,June,30,0,0,25,1,4,999
Shawano,June,145,0,0,113,0,0,0
Sheboygan,June,238,0,0,238,1,0.42,999
St. croix,June,212,0,0,198,1,0.51,999
Taylor,June,31,0,0,40,0,0,0
Trempealeau,June,42,0,0,49,0,0,0
Vernon,June,74,1,1.35,46,0,0,-100
Vilas,June,50,0,0,41,0,0,0
Walworth,June,188,0,0,185,0,0,0
Washburn,June,45,1,2.22,33,0,0,-100
Washington,June,277,1,0.36,252,0,0,-100
Waukesha,June,643,6,0.93,517,2,0.39,-58.5428755641522
Waupaca,June,126,0,0,75,0,0,0
Waushara,June,40,0,0,40,1,2.5,999
Winnebago,June,321,1,0.31,293,0,0,-100
Wood,June,96,0,0,104,2,1.92,999
